original_CAS	original_SMILES	InChIKey	molecule_number	CID	logkow	logkow_source	pka	META_QSARn
100-00-5	[O-][N+](=O)c1ccc(Cl)cc1	InChIKey=CZGCEKJOLUNIFY-UHFFFAOYSA-N	1	7474	2.39	experimental	missing	QSARn1
100-01-6	Nc1ccc(cc1)[N+]([O-])=O	InChIKey=TYMLOMAKGOJONV-UHFFFAOYSA-N	2	7475	1.39	median experimental	1.01	QSARn2
100-02-7	Oc1ccc(cc1)[N+]([O-])=O	InChIKey=BTJIUGUIPKRLHP-UHFFFAOYSA-N	3	980	1.91	experimental	7.15	QSARn3
100-09-4	COc1ccc(cc1)C(O)=O	InChIKey=ZEYHEAKUIGZSGI-UHFFFAOYSA-N	4	7478	1.96	experimental	4.47	QSARn4
100-10-7	CN(C)c1ccc(C=O)cc1	InChIKey=BGNGWHSBYQYVRX-UHFFFAOYSA-N	5	7479	1.81	experimental	missing	QSARn5
100-17-4	COc1ccc(cc1)[N+]([O-])=O	InChIKey=BNUHAJGCKIQFGE-UHFFFAOYSA-N	6	7485	2.03	experimental	missing	QSARn6
100-21-0	OC(=O)c1ccc(cc1)C(O)=O	InChIKey=KKEYFWRCBNTPAC-UHFFFAOYSA-N	7	7489	2.00	median experimental	4.46	QSARn7
100-25-4	[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O	InChIKey=FYFDQJRXFWGIBS-UHFFFAOYSA-N	8	7492	1.46	experimental	missing	QSARn8
100-29-8	CCOc1ccc(cc1)[N+]([O-])=O	InChIKey=NWPKEYHUZKMWKJ-UHFFFAOYSA-N	9	7495	2.50	computed	missing	QSARn9
100-37-8	CCN(CC)CCO	InChIKey=BFSVOASYOCHEOV-UHFFFAOYSA-N	10	7497	0.46	experimental	9.87	QSARn10
100-41-4	CCc1ccccc1	InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N	11	7500	3.15	median experimental	missing	QSARn11
100-42-5	C=Cc1ccccc1	InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N	12	7501	2.95	median experimental	missing	QSARn12
100-44-7	ClCc1ccccc1	InChIKey=KCXMKQUNVWSEMD-UHFFFAOYSA-N	13	7503	2.30	experimental	missing	QSARn13
100-46-9	NCc1ccccc1	InChIKey=WGQKYBSKWIADBV-UHFFFAOYSA-N	14	7504	1.09	experimental	9.33	QSARn14
100-47-0	N#Cc1ccccc1	InChIKey=JFDZBHWFFUWGJE-UHFFFAOYSA-N	15	7505	1.56	experimental	missing	QSARn15
100-51-6	OCc1ccccc1	InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N	16	244	1.10	experimental	15.40	QSARn16
100-52-7	O=Cc1ccccc1	InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N	17	240	1.48	experimental	14.90	QSARn17
100-61-8	CNc1ccccc1	InChIKey=AFBPFSWMIHJQDM-UHFFFAOYSA-N	18	7515	1.68	median experimental	4.85	QSARn18
100-64-1	ON=C1CCCCC1	InChIKey=VEZUQRBDRNJBJY-UHFFFAOYSA-N	19	7517	0.84	experimental	missing	QSARn19
100-66-3	COc1ccccc1	InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N	20	7519	2.11	experimental	missing	QSARn20
100-68-5	CSc1ccccc1	InChIKey=HNKJADCVZUBCPG-UHFFFAOYSA-N	21	7520	2.74	experimental	missing	QSARn21
100-70-9	N#Cc1ccccn1	InChIKey=FFNVQNRYTPFDDP-UHFFFAOYSA-N	22	7522	0.45	experimental	0.26	QSARn22
100-71-0	CCc1ccccn1	InChIKey=NRGGMCIBEHEAIL-UHFFFAOYSA-N	23	7523	1.69	experimental	missing	QSARn23
100-79-8	CC1(C)OCC(CO)O1	InChIKey=RNVYQYLELCKWAN-UHFFFAOYSA-N	24	7528	-0.20	computed	missing	QSARn24
100-83-4	Oc1cccc(C=O)c1	InChIKey=IAVREABSGIHHMO-UHFFFAOYSA-N	25	101	1.40	computed	missing	QSARn25
100-97-0	C1N2CN3CN1CN(C2)C3	InChIKey=VKYKSIONXSXAKP-UHFFFAOYSA-N	26	4101	-2.51	median experimental	4.89|8.85	QSARn26
10004-44-1	CC1=CC(=O)NO1	InChIKey=KGVPNLBXJKTABS-UHFFFAOYSA-N	27	24781	0.46	experimental	missing	QSARn27
10028-15-6	O=[O]=O	InChIKey=CBENFWSGALASAD-UHFFFAOYSA-N	28	24823	-1.70	computed	missing	missing
10031-82-0	CCOc1ccc(C=O)cc1	InChIKey=JRHHJNMASOIRDS-UHFFFAOYSA-N	29	24834	1.60	computed	missing	QSARn28
10043-35-3	OB(O)O	InChIKey=KGBXLFKZBHKPEV-UHFFFAOYSA-N	30	7628	0.17	median experimental	5.80|9.24	QSARn29
100473-08-3	CC(C)(C)C1=CC(=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3)C(C)(C)C	InChIKey=RZJZMSFIUUERJC-UHFFFAOYSA-N	31	59140752	8.30	computed	missing	QSARn30
10049-04-4	[O-][Cl]=O	InChIKey=QBWCMBCROVPCKQ-UHFFFAOYSA-M	32	197148	0.90	computed	missing	missing
1007-28-9	CCNc1nc(N)nc(Cl)n1	InChIKey=IVENSCMCQBJAKW-UHFFFAOYSA-N	33	13878	1.15	experimental	missing	QSARn31
100784-20-1	COC(=O)c1c(Cl)nn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2	InChIKey=FMGZEUWROYGLAY-UHFFFAOYSA-N	34	91763	-0.02	experimental	missing	QSARn32
1008-80-6	CC1CC2CCCCC2CC1C	InChIKey=UBGLIVPMNDOOTE-UHFFFAOYSA-N	35	13885	5.10	computed	missing	QSARn33
101-05-3	Clc1nc(Cl)nc(Nc2ccccc2Cl)n1	InChIKey=IMHBYKMAHXWHRP-UHFFFAOYSA-N	36	7541	3.88	experimental	missing	QSARn34
101-20-2	Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1	InChIKey=ICUTUKXCWQYESQ-UHFFFAOYSA-N	37	7547	4.34	experimental	12.70	QSARn35
101-21-3	CC(C)OC(=O)Nc1cccc(Cl)c1	InChIKey=CWJSHJJYOPWUGX-UHFFFAOYSA-N	38	2728	3.51	median experimental	missing	QSARn36
101-27-9	ClCC#CCOC(=O)Nc1cccc(Cl)c1	InChIKey=MCOQHIWZJUDQIC-UHFFFAOYSA-N	39	7551	3.41	experimental	missing	QSARn37
101-42-8	CN(C)C(=O)Nc1ccccc1	InChIKey=XXOYNJXVWVNOOJ-UHFFFAOYSA-N	40	7560	0.98	experimental	missing	QSARn38
101-54-2	Nc1ccc(Nc2ccccc2)cc1	InChIKey=ATGUVEKSASEFFO-UHFFFAOYSA-N	41	7564	2.11	median experimental	5.20	QSARn39
101-55-3	Brc1ccc(Oc2ccccc2)cc1	InChIKey=JDUYPUMQALQRCN-UHFFFAOYSA-N	42	7565	4.40	computed	missing	QSARn40
101-79-1	Nc1ccc(Oc2ccc(Cl)cc2)cc1	InChIKey=YTISFYMPVILQRL-UHFFFAOYSA-N	43	7578	2.70	computed	missing	QSARn41
101-83-7	C1CCC(CC1)NC2CCCCC2	InChIKey=XBPCUCUWBYBCDP-UHFFFAOYSA-N	44	7582	3.50	experimental	10.40	QSARn42
101-84-8	O(c1ccccc1)c2ccccc2	InChIKey=USIUVYZYUHIAEV-UHFFFAOYSA-N	45	7583	4.21	experimental	5.79	QSARn43
101007-06-1	CC1(C)[C@@H](\C=C/C(=O)OC(C(F)(F)F)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2	InChIKey=YLFSVIMMRPNPFK-WEQBUNFVSA-N	46	6436606	6.80	computed	missing	QSARn44
101043-37-2	CO[C@@H](Cc1ccccc1)[C@@H](C)/C=C(C)/C=C/[C@@H]2NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O	InChIKey=ZYZCGGRZINLQBL-GWRQVWKTSA-N	47	445434	2.30	computed	2.09|2.19|12.48	QSARn45
1013-23-6	O=s1c2ccccc2c3ccccc13	InChIKey=NGDPCAMPVQYGCW-UHFFFAOYSA-N	48	13898	2.70	computed	missing	missing
1014-69-3	CNc1nc(NC(C)C)nc(SC)n1	InChIKey=HCRWJJJUKUVORR-UHFFFAOYSA-N	49	13904	2.38	experimental	4.00	QSARn46
1014-70-6	CCNc1nc(NCC)nc(SC)n1	InChIKey=MGLWZSOBALDPEK-UHFFFAOYSA-N	50	13905	2.80	experimental	missing	QSARn47
101463-69-8	Fc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1NC(=O)NC(=O)c3c(F)cccc3F	InChIKey=RYLHNOVXKPXDIP-UHFFFAOYSA-N	51	91766	6.16	experimental	10.10	QSARn48
101574-65-6	CC(C)c1ccc(cc1)\C=N\NC(=O)c2ccc(O)cc2	InChIKey=IKPPIUNQWSRCOZ-WOJGMQOQSA-N	52	5399376	3.30	computed	missing	QSARn49
10161-33-8	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O	InChIKey=MEHHPFQKXOUFFV-OWSLCNJRSA-N	53	25015	1.90	computed	missing	QSARn50
101908-22-9	C[C@@]1(CCc2cc(O)ccc2[C@H]1CCCCCCCCC[S](=O)CCCC(F)(F)C(F)(F)F)c3ccc(O)cc3	InChIKey=FSMUFBPBKQSSHZ-IMVCMCQESA-N	54	127989	9.60	computed	missing	QSARn51
102-08-9	S=C(Nc1ccccc1)Nc2ccccc2	InChIKey=FCSHMCFRCYZTRQ-UHFFFAOYSA-N	55	700999	2.20	computed	missing	QSARn52
102-27-2	CCNc1cccc(C)c1	InChIKey=GUYMMHOQXYZMJQ-UHFFFAOYSA-N	56	7603	3.00	computed	missing	QSARn53
102-69-2	CCCN(CCC)CCC	InChIKey=YFTHZRPMJXBUME-UHFFFAOYSA-N	57	7616	2.79	experimental	10.65	QSARn54
102-71-6	OCCN(CCO)CCO	InChIKey=GSEJCLTVZPLZKY-UHFFFAOYSA-N	58	7618	-1.00	median experimental	7.76	QSARn55
102-81-8	CCCCN(CCO)CCCC	InChIKey=IWSZDQRGNFLMJS-UHFFFAOYSA-N	59	7621	2.65	experimental	missing	QSARn56
102-82-9	CCCCN(CCCC)CCCC	InChIKey=IMFACGCPASFAPR-UHFFFAOYSA-N	60	7622	2.99	median experimental	10.89	QSARn57
102-97-6	CC(C)NCc1ccccc1	InChIKey=LYBKPDDZTNUNNM-UHFFFAOYSA-N	61	66024	1.83	experimental	missing	QSARn58
10202-92-3	Cc1c(ccc(N)c1[N+]([O-])=O)[N+]([O-])=O	InChIKey=RGHYJDKBMRBWHS-UHFFFAOYSA-N	62	82449	1.80	computed	missing	QSARn59
102121-60-8	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc3ccc(cc3)C(O)=O	InChIKey=SZWKGOZKRMMLAJ-UHFFFAOYSA-N	63	2126	5.40	computed	missing	QSARn60
10222-01-2	NC(=O)C(Br)(Br)C#N	InChIKey=UUIVKBHZENILKB-UHFFFAOYSA-N	64	25059	0.81	median experimental	2.38	QSARn61
1024-57-3	ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl	InChIKey=ZXFXBSWRVIQKOD-UHFFFAOYSA-N	65	13930	5.19	median experimental	missing	QSARn62
10265-92-6	CO[P](N)(=O)SC	InChIKey=NNKVPIKMPCQWCG-UHFFFAOYSA-N	66	4096	-0.80	median experimental	missing	QSARn63
10281-53-5	CC1CCC2CC1C2(C)C	InChIKey=XOKSLPVRUOBDEW-UHFFFAOYSA-N	67	10129	4.35	experimental	missing	QSARn64
102851-06-9	CC(C)[C@@H](Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2	InChIKey=INISTDXBRIBGOC-XMMISQBUSA-N	68	91768	7.70	computed	missing	QSARn65
10293-06-8	CC1(C)C2CCC1(C)C(=O)C2Br	InChIKey=NJQADTYRAYFBJN-UHFFFAOYSA-N	69	6438	2.90	computed	missing	QSARn66
10297-05-9	ClCCCCI	InChIKey=JXOSPTBRSOYXGC-UHFFFAOYSA-N	70	82527	2.80	computed	missing	QSARn67
103-05-9	CC(C)(O)CCc1ccccc1	InChIKey=YXVSKJDFNJFXAJ-UHFFFAOYSA-N	71	7632	2.10	computed	missing	QSARn68
103-23-1	CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC	InChIKey=SAOKZLXYCUGLFA-UHFFFAOYSA-N	72	7641	6.80	computed	missing	QSARn69
103-33-3	c1ccc(cc1)N=Nc2ccccc2	InChIKey=DMLAVOWQYNRWNQ-UHFFFAOYSA-N	73	2272	3.82	experimental	-2.95	QSARn70
103-54-8	CC(=O)OC\C=C\c1ccccc1	InChIKey=WJSDHUCWMSHDCR-VMPITWQZSA-N	74	5282110	2.30	computed	missing	QSARn71
103-65-1	CCCc1ccccc1	InChIKey=ODLMAHJVESYWTB-UHFFFAOYSA-N	75	7668	3.69	experimental	missing	QSARn72
103-69-5	CCNc1ccccc1	InChIKey=OJGMBLNIHDZDGS-UHFFFAOYSA-N	76	7670	2.16	experimental	5.12	QSARn73
103-72-0	S=C=Nc1ccccc1	InChIKey=QKFJKGMPGYROCL-UHFFFAOYSA-N	77	7673	3.28	experimental	missing	QSARn74
103-74-2	OCCc1ccccn1	InChIKey=BXGYBSJAZFGIPX-UHFFFAOYSA-N	78	7675	0.12	experimental	5.31	QSARn75
103-76-4	OCCN1CCNCC1	InChIKey=WFCSWCVEJLETKA-UHFFFAOYSA-N	79	7677	-1.10	computed	missing	QSARn76
103-82-2	OC(=O)Cc1ccccc1	InChIKey=WLJVXDMOQOGPHL-UHFFFAOYSA-N	80	999	1.41	experimental	4.31	QSARn77
103-83-3	CN(C)Cc1ccccc1	InChIKey=XXBDWLFCJWSEKW-UHFFFAOYSA-N	81	7681	1.94	median experimental	missing	QSARn78
103-84-4	CC(=O)Nc1ccccc1	InChIKey=FZERHIULMFGESH-UHFFFAOYSA-N	82	904	1.16	experimental	0.50	QSARn79
103-85-5	NC(=S)Nc1ccccc1	InChIKey=FULZLIGZKMKICU-UHFFFAOYSA-N	83	676454	0.71	experimental	9.62	QSARn80
103-90-2	CC(=O)Nc1ccc(O)cc1	InChIKey=RZVAJINKPMORJF-UHFFFAOYSA-N	84	1983	0.46	median experimental	-4.40|9.38	QSARn81
103055-07-8	FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl	InChIKey=PWPJGUXAGUPAHP-UHFFFAOYSA-N	85	71777	5.12	experimental	missing	QSARn82
1031-07-8	ClC1=C(Cl)C2(Cl)C3CO[S](=O)(=O)OCC3C1(Cl)C2(Cl)Cl	InChIKey=AAPVQEMYVNZIOO-UHFFFAOYSA-N	86	13940	3.66	experimental	missing	QSARn83
103361-09-7	Fc1cc2OCC(=O)N(CC#C)c2cc1N3C(=O)C4=C(CCCC4)C3=O	InChIKey=FOUWCSDKDDHKQP-UHFFFAOYSA-N	87	92425	2.55	experimental	missing	QSARn84
1034343-98-0	[C]	InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N	88	297	1.09	experimental	missing	QSARn85
10353-53-4	C=CCCC1CO1	InChIKey=MUUOUUYKIVSIAR-UHFFFAOYSA-N	89	66314	1.40	computed	missing	QSARn86
104-13-2	CCCCc1ccc(N)cc1	InChIKey=OGIQUQKNJJTLSZ-UHFFFAOYSA-N	90	7694	3.05	experimental	missing	QSARn87
104-20-1	COc1ccc(CCC(C)=O)cc1	InChIKey=PCBSXBYCASFXTM-UHFFFAOYSA-N	91	61007	1.85	experimental	missing	QSARn88
104-40-5	CCCCCCCCCc1ccc(O)cc1	InChIKey=IGFHQQFPSIBGKE-UHFFFAOYSA-N	92	1752	5.76	experimental	missing	QSARn89
104-42-7	CCCCCCCCCCCCc1ccc(N)cc1	InChIKey=KLPPPIIIEMUEGP-UHFFFAOYSA-N	93	7701	7.20	computed	missing	QSARn90
104-51-8	CCCCc1ccccc1	InChIKey=OCKPCBLVNKHBMX-UHFFFAOYSA-N	94	7705	4.38	experimental	missing	QSARn91
104-54-1	OC\C=C/c1ccccc1	InChIKey=OOCCDEMITAIZTP-DAXSKMNVSA-N	95	5280511	1.90	computed	missing	QSARn92
104-75-6	CCCCC(CC)CN	InChIKey=LTHNHFOGQMKPOV-UHFFFAOYSA-N	96	7719	2.80	computed	missing	QSARn93
104-76-7	CCCCC(CC)CO	InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N	97	7720	2.73	experimental	missing	QSARn94
104-88-1	Clc1ccc(C=O)cc1	InChIKey=AVPYQKSLYISFPO-UHFFFAOYSA-N	98	7726	2.10	experimental	missing	QSARn95
104-90-5	CCc1ccc(C)nc1	InChIKey=NTSLROIKFLNUIJ-UHFFFAOYSA-N	99	7728	2.39	experimental	6.51	QSARn96
104-94-9	COc1ccc(N)cc1	InChIKey=BHAAPTBBJKJZER-UHFFFAOYSA-N	100	7732	0.95	experimental	5.36	QSARn97
104040-78-0	COc1cc(OC)nc(NC(=O)N[S](=O)(=O)c2ncccc2C(F)(F)F)n1	InChIKey=HWATZEJQIXKWQS-UHFFFAOYSA-N	101	93539	1.08	experimental	4.37	QSARn98
104098-48-8	CC(C)C1(C)N=C(NC1=O)c2ncc(C)cc2C(O)=O	InChIKey=PVSGXWMWNRGTKE-UHFFFAOYSA-N	102	91770	6.00	experimental	2.00|3.60|11.10	QSARn99
104206-82-8	C[S](=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(c1)[N+]([O-])=O	InChIKey=KPUREKXXPHOJQT-UHFFFAOYSA-N	103	175967	0.7	computed	0.34|0.65|3.12	QSARn100
10453-86-8	CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C	InChIKey=VEMKTZHHVJILDY-UHFFFAOYSA-N	104	5053	5.43	median experimental	missing	QSARn101
10485-70-8	COC(=O)/C=C(C)/CC/C=C(C)/CCC=C(C)C	InChIKey=NWKXNIPBVLQYAB-VDQVFBMKSA-N	105	5275508	5.30	computed	missing	QSARn102
105-08-8	OCC1CCC(CO)CC1	InChIKey=YIMQCDZDWXUDCA-UHFFFAOYSA-N	106	7735	1.14	experimental	17.60	QSARn103
105-14-6	CCN(CC)CCCC(C)=O	InChIKey=GRGNJBKJCVOFEO-UHFFFAOYSA-N	107	7739	1.00	computed	missing	QSARn104
105-37-3	CCOC(=O)CC	InChIKey=FKRCODPIKNYEAC-UHFFFAOYSA-N	108	7749	1.21	experimental	missing	QSARn105
105-39-5	CCOC(=O)CCl	InChIKey=VEUUMBGHMNQHGO-UHFFFAOYSA-N	109	7751	0.94	experimental	missing	QSARn106
105-53-3	CCOC(=O)CC(=O)OCC	InChIKey=IYXGSMUGOJNHAZ-UHFFFAOYSA-N	110	7761	0.96	experimental	missing	QSARn107
105-54-4	CCCC(=O)OCC	InChIKey=OBNCKNCVKJNDBV-UHFFFAOYSA-N	111	7762	1.83	median experimental	missing	QSARn108
105-55-5	CCNC(=S)NCC	InChIKey=FLVIGYVXZHLUHP-UHFFFAOYSA-N	112	2735009	0.57	experimental	missing	QSARn109
105-60-2	O=C1CCCCCN1	InChIKey=JBKVHLHDHHXQEQ-UHFFFAOYSA-N	113	7768	-0.19	experimental	missing	QSARn110
105-67-9	Cc1ccc(O)c(C)c1	InChIKey=KUFFULVDNCHOFZ-UHFFFAOYSA-N	114	7771	2.30	experimental	10.60	QSARn111
105-75-9	CCCCOC(=O)\C=C\C(=O)OCCCC	InChIKey=JBSLOWBPDRZSMB-BQYQJAHWSA-N	115	5271570	2.70	computed	missing	QSARn112
105-99-7	CCCCOC(=O)CCCCC(=O)OCCCC	InChIKey=XTJFFFGAUHQWII-UHFFFAOYSA-N	116	7784	4.17	experimental	missing	QSARn113
10540-29-1	CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3	InChIKey=NKANXQFJJICGDU-QPLCGJKRSA-N	117	2733526	6.70	median experimental	8.48|8.71|8.87|10.00	QSARn114
10599-90-3	NCl	InChIKey=QDHHCQZDFGDHMP-UHFFFAOYSA-N	118	25423	0.10	computed	missing	QSARn115
