original_CAS	original_SMILES	InChIKey	molecule_number
100-00-5	[O-][N+](=O)c1ccc(Cl)cc1	InChIKey=CZGCEKJOLUNIFY-UHFFFAOYSA-N	1
100-01-6	Nc1ccc(cc1)[N+]([O-])=O	InChIKey=TYMLOMAKGOJONV-UHFFFAOYSA-N	2
100-02-7	Oc1ccc(cc1)[N+]([O-])=O	InChIKey=BTJIUGUIPKRLHP-UHFFFAOYSA-N	3
100-09-4	COc1ccc(cc1)C(O)=O	InChIKey=ZEYHEAKUIGZSGI-UHFFFAOYSA-N	4
100-10-7	CN(C)c1ccc(C=O)cc1	InChIKey=BGNGWHSBYQYVRX-UHFFFAOYSA-N	5
100-17-4	COc1ccc(cc1)[N+]([O-])=O	InChIKey=BNUHAJGCKIQFGE-UHFFFAOYSA-N	6
100-21-0	OC(=O)c1ccc(cc1)C(O)=O	InChIKey=KKEYFWRCBNTPAC-UHFFFAOYSA-N	7
100-25-4	[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O	InChIKey=FYFDQJRXFWGIBS-UHFFFAOYSA-N	8
100-29-8	CCOc1ccc(cc1)[N+]([O-])=O	InChIKey=NWPKEYHUZKMWKJ-UHFFFAOYSA-N	9
100-37-8	CCN(CC)CCO	InChIKey=BFSVOASYOCHEOV-UHFFFAOYSA-N	10
100-41-4	CCc1ccccc1	InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N	11
100-42-5	C=Cc1ccccc1	InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N	12
100-44-7	ClCc1ccccc1	InChIKey=KCXMKQUNVWSEMD-UHFFFAOYSA-N	13
100-46-9	NCc1ccccc1	InChIKey=WGQKYBSKWIADBV-UHFFFAOYSA-N	14
100-47-0	N#Cc1ccccc1	InChIKey=JFDZBHWFFUWGJE-UHFFFAOYSA-N	15
100-51-6	OCc1ccccc1	InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N	16
100-52-7	O=Cc1ccccc1	InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N	17
100-61-8	CNc1ccccc1	InChIKey=AFBPFSWMIHJQDM-UHFFFAOYSA-N	18
100-64-1	ON=C1CCCCC1	InChIKey=VEZUQRBDRNJBJY-UHFFFAOYSA-N	19
100-66-3	COc1ccccc1	InChIKey=RDOXTESZEPMUJZ-UHFFFAOYSA-N	20
100-68-5	CSc1ccccc1	InChIKey=HNKJADCVZUBCPG-UHFFFAOYSA-N	21
100-70-9	N#Cc1ccccn1	InChIKey=FFNVQNRYTPFDDP-UHFFFAOYSA-N	22
100-71-0	CCc1ccccn1	InChIKey=NRGGMCIBEHEAIL-UHFFFAOYSA-N	23
100-79-8	CC1(C)OCC(CO)O1	InChIKey=RNVYQYLELCKWAN-UHFFFAOYSA-N	24
100-83-4	Oc1cccc(C=O)c1	InChIKey=IAVREABSGIHHMO-UHFFFAOYSA-N	25
100-97-0	C1N2CN3CN1CN(C2)C3	InChIKey=VKYKSIONXSXAKP-UHFFFAOYSA-N	26
10004-44-1	CC1=CC(=O)NO1	InChIKey=KGVPNLBXJKTABS-UHFFFAOYSA-N	27
10028-15-6	O=[O]=O	InChIKey=CBENFWSGALASAD-UHFFFAOYSA-N	28
10031-82-0	CCOc1ccc(C=O)cc1	InChIKey=JRHHJNMASOIRDS-UHFFFAOYSA-N	29
10043-35-3	OB(O)O	InChIKey=KGBXLFKZBHKPEV-UHFFFAOYSA-N	30
100473-08-3	CC(C)(C)C1=CC(=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3)C(C)(C)C	InChIKey=RZJZMSFIUUERJC-UHFFFAOYSA-N	31
10049-04-4	[O-][Cl]=O	InChIKey=QBWCMBCROVPCKQ-UHFFFAOYSA-M	32
1007-28-9	CCNc1nc(N)nc(Cl)n1	InChIKey=IVENSCMCQBJAKW-UHFFFAOYSA-N	33
100784-20-1	COC(=O)c1c(Cl)nn(C)c1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2	InChIKey=FMGZEUWROYGLAY-UHFFFAOYSA-N	34
1008-80-6	CC1CC2CCCCC2CC1C	InChIKey=UBGLIVPMNDOOTE-UHFFFAOYSA-N	35
101-05-3	Clc1nc(Cl)nc(Nc2ccccc2Cl)n1	InChIKey=IMHBYKMAHXWHRP-UHFFFAOYSA-N	36
101-20-2	Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1	InChIKey=ICUTUKXCWQYESQ-UHFFFAOYSA-N	37
101-21-3	CC(C)OC(=O)Nc1cccc(Cl)c1	InChIKey=CWJSHJJYOPWUGX-UHFFFAOYSA-N	38
101-27-9	ClCC#CCOC(=O)Nc1cccc(Cl)c1	InChIKey=MCOQHIWZJUDQIC-UHFFFAOYSA-N	39
101-42-8	CN(C)C(=O)Nc1ccccc1	InChIKey=XXOYNJXVWVNOOJ-UHFFFAOYSA-N	40
101-54-2	Nc1ccc(Nc2ccccc2)cc1	InChIKey=ATGUVEKSASEFFO-UHFFFAOYSA-N	41
